,api_uri,contact_form,crp_id,cspan_id,date_of_birth,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,gender,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,last_updated,leadership_role,lis_id,middle_name,missed_votes,ocd_id,office,party,phone,rss_url,senate_class,seniority,short_title,state,state_rank,suffix,title,total_present,total_votes,twitter_account,url,votesmart_id,youtube_account
0,https://api.propublica.org/congress/v1/members/A000017.json,,,,1931-02-24,,,,,James,M,,400679,13000,A000017,,False,Abourezk,2013-04-12 20:11:46 -0400,,,George,,ocd-division/country:us/state:sd,,D,,,2,3,Sen.,SD,,,"Senator, 2nd Class",,,,,,
1,https://api.propublica.org/congress/v1/members/A000127.json,,,,1912-12-28,,,,,James,M,,400783,12100,A000127,,False,Allen,2013-04-12 20:11:48 -0400,,,Browning,,ocd-division/country:us/state:al,,D,,,3,7,Sen.,AL,,,"Senator, 3rd Class",,,,,,
2,https://api.propublica.org/congress/v1/members/A000202.json,,,,1933-02-01,,,,,Wendell,,,400862,14513,A000202,,False,Anderson,2013-04-12 20:11:49 -0400,,,Richard,,ocd-division/country:us/state:mn,,I,,,2,1,Sen.,MN,,,"Senator, 2nd Class",,,,,,
3,https://api.propublica.org/congress/v1/members/B000063.json,,,,1925-11-15,,,,,Howard,M,,401067,11200,B000063,,False,Baker,2013-04-12 20:11:50 -0400,,,Henry,,ocd-division/country:us/state:tn,,R,,,2,9,Sen.,TN,,,"Senator, 2nd Class",,,,,,
4,https://api.propublica.org/congress/v1/members/B000200.json,,,,1919-03-28,,,,,Dewey,,,401199,14100,B000200,,False,Bartlett,2013-04-12 20:11:46 -0400,,,Follett,,ocd-division/country:us/state:ok,,R,,,2,3,Sen.,OK,,,"Senator, 2nd Class",,,,,,
5,https://api.propublica.org/congress/v1/members/B000254.json,,,,1928-01-22,,,,,Birch,M,,401248,10800,B000254,,False,Bayh,2013-04-12 20:11:48 -0400,,,Evans,,ocd-division/country:us/state:in,,D,,,3,13,Sen.,IN,,,"Senator, 3rd Class",,,,,,
6,https://api.propublica.org/congress/v1/members/B000272.json,,,,1927-06-19,,,,,John,M,,401266,12002,B000272,,False,Beall,2013-04-12 20:11:45 -0400,,,Glenn,,ocd-division/country:us/state:md,,R,,,1,5,Sen.,MD,,,"Senator, 1st Class",,,,,,
7,https://api.propublica.org/congress/v1/members/B000351.json,,,,,,,,,Henry,M,,401343,12101,B000351,,False,Bellmon,2013-04-12 20:11:48 -0400,,,Louis,,ocd-division/country:us/state:ok,,R,,,3,7,Sen.,OK,,,"Senator, 3rd Class",,,,,,
8,https://api.propublica.org/congress/v1/members/B000401.json,,,,1921-02-11,,,,,Lloyd,,,401391,660,B000401,,False,Bentsen,2013-04-12 20:11:54 -0400,,S009,Millard,,ocd-division/country:us/state:tx,,D,,,1,5,Sen.,TX,,,"Senator, 1st Class",,,,,,
9,https://api.propublica.org/congress/v1/members/B000444.json,,,34,1942-11-20,,,,,Joseph,M,,300008,14101,B000444,,False,Biden,2017-11-29 06:35:51 -0500,,S010,R.,,ocd-division/country:us/state:de,,D,,,2,3,Sen.,DE,,Jr.,"Senator, 2nd Class",,,,,,
10,https://api.propublica.org/congress/v1/members/B000851.json,,,,1930-11-23,,,,,William,M,,401808,10571,B000851,,False,Brock,2013-04-12 20:11:45 -0400,,,Emerson,,ocd-division/country:us/state:tn,,R,,,1,5,Sen.,TN,,,"Senator, 1st Class",,,,,,
11,https://api.propublica.org/congress/v1/members/B000871.json,,,,1919-10-26,,,,,Edward,M,,401828,11201,B000871,,False,Brooke,2013-04-12 20:11:46 -0400,,,William,,ocd-division/country:us/state:ma,,R,,,2,9,Sen.,MA,,,"Senator, 2nd Class",,,,,,
12,https://api.propublica.org/congress/v1/members/B001026.json,,,,1923-03-09,,,,,James,M,,401976,13100,B001026,,False,Buckley,2013-04-12 20:11:45 -0400,,,Lane,,ocd-division/country:us/state:ny,,I,,,1,5,Sen.,NY,,,"Senator, 1st Class",,,,,,
13,https://api.propublica.org/congress/v1/members/B001057.json,,,,1925-08-12,,,,,Dale,M,,402004,14300,B001057,,False,Bumpers,2013-04-12 20:11:57 -0400,,S014,,,ocd-division/country:us/state:ar,,D,,,3,1,Sen.,AR,,,"Senator, 3rd Class",,,,,,
14,https://api.propublica.org/congress/v1/members/B001077.json,,,,1908-06-19,,,,,Quentin,,,402023,1252,B001077,,False,Burdick,2013-04-12 20:11:54 -0400,,S015,Northrup,,ocd-division/country:us/state:nd,,D,,,1,15,Sen.,ND,,,"Senator, 1st Class",,,,,,
15,https://api.propublica.org/congress/v1/members/B001210.json,,,,1917-11-20,,,,,Robert,M,/m/06bss,300016,1366,B001210,,False,Byrd,2016-06-14 16:26:04 -0400,,S017,C.,,ocd-division/country:us/state:wv,,D,,,1,17,Sen.,WV,,,"Senator, 1st Class",,,,,,
16,https://api.propublica.org/congress/v1/members/B001209.json,,,,1914-12-20,,,,,Harry,M,,402149,10802,B001209,,False,Byrd,2013-04-12 20:11:49 -0400,,,Flood,,ocd-division/country:us/state:va,,I,,,1,10,Sen.,VA,,,"Senator, 1st Class",,,,,,
17,https://api.propublica.org/congress/v1/members/C000120.json,,,,1912-01-26,,,,,Howard,M,,402271,1482,C000120,,False,Cannon,2013-04-12 20:11:49 -0400,,,Walter,,ocd-division/country:us/state:nv,,D,,,1,17,Sen.,NV,,,"Senator, 1st Class",,,,,,
18,https://api.propublica.org/congress/v1/members/C000220.json,,,,1904-04-16,,,,,Clifford,,,402366,1569,C000220,,False,Case,2013-04-12 20:11:46 -0400,,,Philip,,ocd-division/country:us/state:nj,,R,,,2,21,Sen.,NJ,,,"Senator, 2nd Class",,,,,,
19,https://api.propublica.org/congress/v1/members/C000269.json,,,,1922-10-22,,,,,John,M,,402412,14500,C000269,,False,Chafee,2013-04-12 20:11:58 -0400,,S116,H.,,ocd-division/country:us/state:ri,,R,,,1,1,Sen.,RI,,,"Senator, 1st Class",,,,,,
20,https://api.propublica.org/congress/v1/members/C000356.json,,,,1930-04-03,,,,,Lawton,,,402495,13101,C000356,,False,Chiles,2013-04-12 20:11:52 -0400,,,Mainor,,ocd-division/country:us/state:fl,,D,,,1,5,Sen.,FL,,,"Senator, 1st Class",,,,,,
21,https://api.propublica.org/congress/v1/members/C000388.json,,,,1924-07-25,,,,,Frank,M,,402527,1721,C000388,,False,Church,2013-04-12 20:11:48 -0400,,,Forrester,,ocd-division/country:us/state:id,,D,,,3,19,Sen.,ID,,,"Senator, 3rd Class",,,,,,
22,https://api.propublica.org/congress/v1/members/C000448.json,,,,1928-09-14,,,,,Richard,M,,402586,14102,C000448,,False,Clark,2013-04-12 20:11:47 -0400,,,Clarence,,ocd-division/country:us/state:ia,,D,,,2,3,Sen.,IA,,,"Senator, 2nd Class",,,,,,
23,https://api.propublica.org/congress/v1/members/C000802.json,,,,,,,,,Norris,,,402921,2087,C000802,,False,Cotton,2013-04-12 20:11:48 -0400,,,H.,,ocd-division/country:us/state:nh,,R,,,3,21,Sen.,NH,,,"Senator, 3rd Class",,,,,,
24,https://api.propublica.org/congress/v1/members/C000877.json,,,,1914-06-19,,,,,Alan,,,402990,12103,C000877,,False,Cranston,2013-04-12 20:11:54 -0400,,S023,,,ocd-division/country:us/state:ca,,D,,,3,7,Sen.,CA,,,"Senator, 3rd Class",,,,,,
25,https://api.propublica.org/congress/v1/members/C000979.json,,,,1932-08-08,,,,,John,M,,403090,10715,C000979,,False,Culver,2013-04-12 20:11:48 -0400,,,Chester,,ocd-division/country:us/state:ia,,D,,,3,1,Sen.,IA,,,"Senator, 3rd Class",,,,,,
26,https://api.propublica.org/congress/v1/members/C001006.json,,,,1905-03-15,,,,,Carl,M,,403113,2267,C001006,,False,Curtis,2013-04-12 20:11:47 -0400,,,Thomas,,ocd-division/country:us/state:ne,,R,,,2,21,Sen.,NE,,,"Senator, 2nd Class",,,,,,
27,https://api.propublica.org/congress/v1/members/D000030.json,,,103,1936-09-05,,,,,John,M,,403171,14501,D000030,,False,Danforth,2013-04-12 20:11:54 -0400,,S108,Claggett,,ocd-division/country:us/state:mo,,R,,,1,1,Sen.,MO,,,"Senator, 1st Class",,,,,,
28,https://api.propublica.org/congress/v1/members/D000401.json,,,,1923-07-22,,,,,Robert,M,,403515,10513,D000401,,False,Dole,2013-04-12 20:11:57 -0400,,S026,Joseph,,ocd-division/country:us/state:ks,,R,,,3,7,Sen.,KS,,,"Senator, 3rd Class",,,,,,
29,https://api.propublica.org/congress/v1/members/D000407.json,,,,1932-05-07,,,,,Pete,M,,300036,14103,D000407,,False,Domenici,2013-04-12 20:12:01 -0400,,S027,V.,,ocd-division/country:us/state:nm,,R,,,2,3,Sen.,NM,,,"Senator, 2nd Class",,,,,,
30,https://api.propublica.org/congress/v1/members/D000574.json,,,,1936-03-29,,,,,John,M,,403677,14310,D000574,,False,Durkin,2013-04-12 20:11:48 -0400,,,Anthony,,ocd-division/country:us/state:nh,,D,,,3,1,Sen.,NH,,,"Senator, 3rd Class",,,,,,
31,https://api.propublica.org/congress/v1/members/E000004.json,,,,1929-09-04,,,,,Thomas,M,,403700,12104,E000004,,False,Eagleton,2013-04-12 20:11:51 -0400,,,Francis,,ocd-division/country:us/state:mo,,D,,,3,7,Sen.,MO,,,"Senator, 3rd Class",,,,,,
32,https://api.propublica.org/congress/v1/members/E000018.json,,,,1904-11-28,,,,,James,M,,403714,2822,E000018,,False,Eastland,2013-04-12 20:11:47 -0400,,,Oliver,,ocd-division/country:us/state:ms,,D,,,2,33,Sen.,MS,,,"Senator, 2nd Class",,,,,,
33,https://api.propublica.org/congress/v1/members/F000013.json,,,,1907-01-29,,,,,Paul,M,,403975,10804,F000013,,False,Fannin,2013-04-12 20:11:45 -0400,,,Jones,,ocd-division/country:us/state:az,,R,,,1,11,Sen.,AZ,,,"Senator, 1st Class",,,,,,
34,https://api.propublica.org/congress/v1/members/F000245.json,,,,1906-10-15,,,,,Hiram,,,404199,3255,F000245,,False,Fong,2013-04-12 20:11:45 -0400,,,Leong,,ocd-division/country:us/state:hi,,R,,,1,16,Sen.,HI,,,"Senator, 1st Class",,,,,,
35,https://api.propublica.org/congress/v1/members/F000268.json,,,,1924-09-08,,,,,Wendell,M,,404219,14302,F000268,,False,Ford,2013-04-12 20:11:57 -0400,,S033,H.,,ocd-division/country:us/state:ky,,D,,,3,1,Sen.,KY,,,"Senator, 3rd Class",,,,,,
36,https://api.propublica.org/congress/v1/members/G000072.json,,,,1932-10-12,,,,,Edwin,M,,404444,14303,G000072,,False,Garn,2013-04-12 20:11:54 -0400,,S034,Jacob,,ocd-division/country:us/state:ut,,R,,,3,1,Sen.,UT,,,"Senator, 3rd Class",,,,,,
37,https://api.propublica.org/congress/v1/members/G000236.json,,,,1921-07-18,,,,,John,M,,404598,14304,G000236,,False,Glenn,2017-11-29 06:35:53 -0500,,S035,H.,,ocd-division/country:us/state:oh,,D,,,3,1,Sen.,OH,,Jr.,"Senator, 3rd Class",,,,,,
38,https://api.propublica.org/congress/v1/members/G000267.json,,,,1909-01-01,,,,,Barry,M,,404629,3658,G000267,,False,Goldwater,2013-04-12 20:11:52 -0400,,,Morris,,ocd-division/country:us/state:az,,R,,,3,19,Sen.,AZ,,,"Senator, 3rd Class",,,,,,
39,https://api.propublica.org/congress/v1/members/G000388.json,,,,1930-05-13,,,,,Maurice,,,404738,12105,G000388,,False,Gravel,2013-04-12 20:11:48 -0400,,,Robert,,ocd-division/country:us/state:ak,,D,,,3,7,Sen.,AK,,,"Senator, 3rd Class",,,,,,
40,https://api.propublica.org/congress/v1/members/G000465.json,,,,1923-11-06,,,,,Robert,M,,404810,3824,G000465,,False,Griffin,2013-04-12 20:11:47 -0400,,,Paul,,ocd-division/country:us/state:mi,,R,,,2,9,Sen.,MI,,,"Senator, 2nd Class",,,,,,
41,https://api.propublica.org/congress/v1/members/H000170.json,,,,1912-10-16,,,,,Clifford,,,405052,11202,H000170,,False,Hansen,2013-04-12 20:11:47 -0400,,,Peter,,ocd-division/country:us/state:wy,,R,,,2,9,Sen.,WY,,,"Senator, 2nd Class",,,,,,
42,https://api.propublica.org/congress/v1/members/H000291.json,,,,1912-12-10,,,,,Philip,M,,405164,4148,H000291,,False,Hart,2013-04-12 20:11:46 -0400,,,Aloysius,,ocd-division/country:us/state:mi,,D,,,1,17,Sen.,MI,,,"Senator, 1st Class",,,,,,
43,https://api.propublica.org/congress/v1/members/H000287.json,,,,1936-11-28,,,,,Gary,,,405161,14305,H000287,,False,Hart,2013-04-12 20:11:52 -0400,,,Warren,,ocd-division/country:us/state:co,,D,,,3,1,Sen.,CO,,,"Senator, 3rd Class",,,,,,
44,https://api.propublica.org/congress/v1/members/H000297.json,,,,1919-05-31,,,,,Rupert,M,,405170,4154,H000297,,False,Hartke,2013-04-12 20:11:46 -0400,,,Vance,,ocd-division/country:us/state:in,,D,,,1,17,Sen.,IN,,,"Senator, 1st Class",,,,,,
45,https://api.propublica.org/congress/v1/members/H000317.json,,,,1916-02-07,,,,,Floyd,M,,405190,14104,H000317,,False,Haskell,2013-04-12 20:11:47 -0400,,,Kirk,,ocd-division/country:us/state:co,,D,,,2,3,Sen.,CO,,,"Senator, 2nd Class",,,,,,
46,https://api.propublica.org/congress/v1/members/H000343.json,,,,1922-07-12,,,,,Mark,M,,405212,11203,H000343,,False,Hatfield,2013-04-12 20:11:56 -0400,,S044,Odom,,ocd-division/country:us/state:or,,R,,,2,9,Sen.,OR,,,"Senator, 2nd Class",,,,,,
47,https://api.propublica.org/congress/v1/members/H000346.json,,,,1924-02-21,,,,,William,M,,405215,10736,H000346,,False,Hathaway,2013-04-12 20:11:47 -0400,,,Dodd,,ocd-division/country:us/state:me,,D,,,2,3,Sen.,ME,,,"Senator, 2nd Class",,,,,,
48,https://api.propublica.org/congress/v1/members/H000384.json,,,,1906-07-18,,,,,Samuel,M,,405252,14504,H000384,,False,Hayakawa,2013-04-12 20:11:49 -0400,,,Ichiye,,ocd-division/country:us/state:ca,,R,,,1,1,Sen.,CA,,,"Senator, 1st Class",,,,,,
49,https://api.propublica.org/congress/v1/members/H000463.json,,,,1921-10-18,,,,,Jesse,M,,300154,14105,H000463,,False,Helms,2013-04-12 20:11:59 -0400,,S046,,,ocd-division/country:us/state:nc,,R,,,2,3,Sen.,NC,,,"Senator, 2nd Class",,,,,,
50,https://api.propublica.org/congress/v1/members/H000725.json,,,,1922-01-01,,,,,Ernest,M,,300053,11204,H000725,,False,Hollings,2013-04-12 20:12:00 -0400,,S047,F.,,ocd-division/country:us/state:sc,,D,,,3,9,Sen.,SC,,,"Senator, 3rd Class",,,,,,
51,https://api.propublica.org/congress/v1/members/H000875.json,,,,1904-08-16,,,,,Roman,,,405721,4660,H000875,,False,Hruska,2013-04-12 20:11:46 -0400,,,Lee,,ocd-division/country:us/state:ne,,R,,,1,21,Sen.,NE,,,"Senator, 1st Class",,,,,,
52,https://api.propublica.org/congress/v1/members/H000905.json,,,,1926-04-15,,,,,Walter,M,,405751,14106,H000905,,False,Huddleston,2013-04-12 20:11:50 -0400,,,Darlington,,ocd-division/country:us/state:ky,,D,,,2,3,Sen.,KY,,,"Senator, 2nd Class",,,,,,
53,https://api.propublica.org/congress/v1/members/H000953.json,,,,1911-05-27,,,,,Hubert,M,,405797,4728,H000953,,False,Humphrey,2013-04-12 20:11:49 -0400,,,Horatio,,ocd-division/country:us/state:mn,,I,,,1,21,Sen.,MN,,,"Senator, 1st Class",,,,,,
54,https://api.propublica.org/congress/v1/members/I000025.json,,,2568,1924-09-07,,,,,Daniel,M,/m/021sv1,300056,4812,I000025,,False,Inouye,2016-06-14 16:31:37 -0400,,S051,K.,,ocd-division/country:us/state:hi,,D,,,3,13,Sen.,HI,,,"Senator, 3rd Class",,,daniel_inouye,,,
