,api_uri,contact_form,crp_id,cspan_id,date_of_birth,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,gender,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,last_updated,leadership_role,lis_id,middle_name,missed_votes,missed_votes_pct,next_election,ocd_id,office,party,phone,rss_url,senate_class,seniority,short_title,state,state_rank,suffix,title,total_present,total_votes,twitter_account,url,votes_with_party_pct,votesmart_id,youtube_account
0,https://api.propublica.org/congress/v1/members/A000031.json,,,,1927-01-13,,,,,Brockman,,,400692,10700,A000031,,False,Adams,2013-04-12 20:11:54 -0400,,S180,,7,1.1,,ocd-division/country:us/state:wa,,D,,,3,3,Sen.,WA,,,"Senator, 3rd Class",0,638,,,89.22,,
1,https://api.propublica.org/congress/v1/members/A000069.json,,,8704,1924-09-11,,,,,Daniel,M,/m/01rbrq,300001,14400,A000069,,False,Akaka,2016-06-14 16:25:53 -0400,,S213,K.,3,1.28,,ocd-division/country:us/state:hi,,D,,,1,1,Sen.,HI,,,"Senator, 1st Class",0,234,SenatorAkaka,,88.31,,senatorakaka
2,https://api.propublica.org/congress/v1/members/A000219.json,,,,1937-03-16,,,,,William,M,,400927,14002,A000219,,False,Armstrong,2013-04-12 20:11:53 -0400,,S134,Lester,86,13.48,,ocd-division/country:us/state:co,,R,,,2,11,Sen.,CO,,,"Senator, 2nd Class",0,638,,,82.97,,
3,https://api.propublica.org/congress/v1/members/B000243.json,,,1727,1941-12-11,,,,,Max,M,/m/01rcm2,300005,14203,B000243,,False,Baucus,2016-06-14 16:25:58 -0400,,S127,,15,2.35,,ocd-division/country:us/state:mt,,D,,,2,11,Sen.,MT,,,"Senator, 2nd Class",0,638,,http://www.baucus.senate.gov,80.58,,SenatorBaucus
4,https://api.propublica.org/congress/v1/members/B000401.json,,,,1921-02-11,,,,,Lloyd,,,401391,660,B000401,,False,Bentsen,2013-04-12 20:11:54 -0400,,S009,Millard,14,2.19,,ocd-division/country:us/state:tx,,D,,,1,19,Sen.,TX,,,"Senator, 1st Class",0,638,,,86.22,,
5,https://api.propublica.org/congress/v1/members/B000444.json,,,34,1942-11-20,,,,,Joseph,M,,300008,14101,B000444,,False,Biden,2017-11-29 06:35:51 -0500,,S010,R.,12,1.88,,ocd-division/country:us/state:de,,D,,,2,17,Sen.,DE,,Jr.,"Senator, 2nd Class",0,638,,,82.43,,
6,https://api.propublica.org/congress/v1/members/B000468.json,,,590,1943-10-03,,,,,Jeff,M,/m/01xck2,300009,15101,B000468,,False,Bingaman,2016-06-14 16:25:59 -0400,,S167,,20,3.13,,ocd-division/country:us/state:nm,,D,,,1,7,Sen.,NM,,,"Senator, 1st Class",0,638,jeffbingaman,,83.82,,SenJeffBingaman
7,https://api.propublica.org/congress/v1/members/B000611.json,,,2360,1939-03-06,,,,,Christopher,M,/m/01_6h2,300010,15500,B000611,,False,Bond,2016-06-14 16:26:01 -0400,,S200,S.,11,1.72,,ocd-division/country:us/state:mo,,R,,,3,3,Sen.,MO,,,"Senator, 3rd Class",0,638,,,87.4,,CSBondMO
8,https://api.propublica.org/congress/v1/members/B000639.json,,,,1941-04-21,,,,,David,M,,401604,14700,B000639,,False,Boren,2013-04-12 20:11:55 -0400,,S128,Lyle,35,5.49,,ocd-division/country:us/state:ok,,D,,,2,11,Sen.,OK,,,"Senator, 2nd Class",1,638,,,75.95,,
9,https://api.propublica.org/congress/v1/members/B000647.json,,,,1930-11-07,,,,,Rudolph,,,401611,14701,B000647,,False,Boschwitz,2013-04-12 20:11:53 -0400,,S135,Eli,31,4.86,,ocd-division/country:us/state:mn,,R,,,2,11,Sen.,MN,,,"Senator, 2nd Class",1,638,,,86.16,,
10,https://api.propublica.org/congress/v1/members/B001225.json,,,,1943-07-28,,,,,William,M,,401709,14702,B001225,,False,Bradley,2013-04-12 20:11:55 -0400,,S132,Warren,20,3.13,,ocd-division/country:us/state:nj,,D,,,2,11,Sen.,NJ,,,"Senator, 2nd Class",0,638,,,80.42,,
11,https://api.propublica.org/congress/v1/members/B000780.json,,,,1944-03-01,,,,,John,M,,300012,13056,B000780,,False,Breaux,2013-04-12 20:11:59 -0400,,S179,B.,7,1.1,,ocd-division/country:us/state:la,,D,,,3,4,Sen.,LA,,,"Senator, 3rd Class",0,638,,,80.03,,
12,https://api.propublica.org/congress/v1/members/B000993.json,,,,1937-07-16,,,,,Richard,M,,400557,15701,B000993,,False,Bryan,2013-04-12 20:11:58 -0400,,S206,H.,2,0.31,,ocd-division/country:us/state:nv,,D,,,1,1,Sen.,NV,,,"Senator, 1st Class",0,638,,,85.06,,
13,https://api.propublica.org/congress/v1/members/B001057.json,,,,1925-08-12,,,,,Dale,M,,402004,14300,B001057,,False,Bumpers,2013-04-12 20:11:57 -0400,,S014,,10,1.57,,ocd-division/country:us/state:ar,,D,,,3,15,Sen.,AR,,,"Senator, 3rd Class",0,638,,,88.54,,
